timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1654899294802,27,foo,200,OK,vertx 1-9,,true,,74,110,13,13,http://localhost/foo,26,0,21
1654899294811,43,foo,200,OK,vertx 1-11,,true,,74,110,16,16,http://localhost/foo,43,0,12
1654899294800,86,foo,200,OK,vertx 1-5,,true,,74,110,21,21,http://localhost/foo,86,0,21
1654899294800,100,foo,200,OK,vertx 1-1,,true,,74,110,23,23,http://localhost/foo,100,0,20
1654899294800,127,foo,200,OK,vertx 1-4,,true,,74,110,27,27,http://localhost/foo,127,0,21
1654899294959,11,foo,200,OK,vertx 1-31,,true,,74,110,32,32,http://localhost/foo,11,0,0
1654899294967,4,foo,200,OK,vertx 1-32,,true,,74,110,32,32,http://localhost/foo,4,0,0
1654899294870,112,foo,200,OK,vertx 1-19,,true,,74,110,34,34,http://localhost/foo,111,0,0
1654899294878,109,foo,200,OK,vertx 1-20,,true,,74,110,34,34,http://localhost/foo,108,0,0
1654899294834,154,foo,200,OK,vertx 1-14,,true,,74,110,34,34,http://localhost/foo,154,0,0
1654899294863,166,foo,200,OK,vertx 1-18,,true,,74,110,40,40,http://localhost/foo,166,0,1
1654899294906,123,foo,200,OK,vertx 1-24,,true,,74,110,40,40,http://localhost/foo,123,0,1
1654899294913,138,foo,200,OK,vertx 1-25,,true,,74,110,43,43,http://localhost/foo,138,0,1
1654899294996,59,foo,200,OK,vertx 1-36,,true,,74,110,43,43,http://localhost/foo,58,0,1
1654899294800,254,foo,200,OK,vertx 1-7,,true,,74,110,44,44,http://localhost/foo,254,0,20
1654899294830,227,bar,200,OK,vertx 1-9,,true,,74,110,44,44,http://localhost/bar,227,0,1
1654899294936,129,foo,200,OK,vertx 1-28,,true,,74,110,45,45,http://localhost/foo,129,0,0
1654899294855,215,bar,200,OK,vertx 1-11,,true,,74,110,45,45,http://localhost/bar,215,0,0
1654899294819,271,foo,200,OK,vertx 1-12,,true,,74,110,48,48,http://localhost/foo,271,0,4
1654899295063,47,foo,200,OK,vertx 1-9,,true,,74,110,51,51,http://localhost/foo,47,0,1
1654899295041,86,foo,200,OK,vertx 1-42,,true,,74,110,53,53,http://localhost/foo,86,0,0
1654899294848,279,foo,200,OK,vertx 1-16,,true,,74,110,53,53,http://localhost/foo,279,0,1
1654899294841,287,foo,200,OK,vertx 1-15,,true,,74,110,53,53,http://localhost/foo,287,0,0
1654899295110,21,foo,200,OK,vertx 1-51,,true,,74,110,53,53,http://localhost/foo,21,0,0
1654899295140,12,foo,200,OK,vertx 1-55,,true,,74,110,56,56,http://localhost/foo,12,0,1
1654899294944,224,foo,200,OK,vertx 1-29,,true,,74,110,58,58,http://localhost/foo,224,0,0
1654899294987,182,bar,200,OK,vertx 1-20,,true,,74,110,58,58,http://localhost/bar,182,0,0
1654899294800,377,foo,200,OK,vertx 1-6,,true,,74,110,60,60,http://localhost/foo,376,0,21
1654899294800,378,foo,200,OK,vertx 1-3,,true,,74,110,60,60,http://localhost/foo,378,0,20
1654899294803,381,foo,200,OK,vertx 1-8,,true,,74,110,60,60,http://localhost/foo,381,0,20
1654899295111,76,bar,200,OK,vertx 1-9,,true,,74,110,61,61,http://localhost/bar,76,0,0
1654899295026,170,foo,200,OK,vertx 1-40,,true,,74,110,61,61,http://localhost/foo,170,0,0
1654899295051,146,bar,200,OK,vertx 1-25,,true,,74,110,61,61,http://localhost/bar,146,0,1
1654899294803,400,foo,200,OK,vertx 1-10,,true,,74,110,62,62,http://localhost/foo,400,0,20
1654899295180,38,bar,200,OK,vertx 1-3,,true,,74,110,64,64,http://localhost/bar,38,0,0
1654899294982,238,bar,200,OK,vertx 1-19,,true,,74,110,64,64,http://localhost/bar,238,0,0
1654899295070,151,foo,200,OK,vertx 1-11,,true,,74,110,65,65,http://localhost/foo,151,0,1
1654899294921,300,foo,200,OK,vertx 1-26,,true,,74,110,65,65,http://localhost/foo,300,0,0
1654899294800,423,foo,408,Request Timeout,vertx 1-2,,false,,70,110,65,65,http://localhost/foo,423,0,20
1654899295221,5,foo,200,OK,vertx 1-66,,true,,74,110,65,65,http://localhost/foo,5,0,1
1654899294826,401,foo,408,Request Timeout,vertx 1-13,,false,,70,110,65,65,http://localhost/foo,401,0,0
1654899295029,211,bar,200,OK,vertx 1-18,,true,,74,110,67,67,http://localhost/bar,210,0,0
1654899295196,60,bar,200,OK,vertx 1-40,,true,,74,110,69,69,http://localhost/bar,60,0,0
